County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Alameda,4/2/2020,345,10,57,76,29,17
Alpine,4/2/2020,1,0,,,,
Amador,4/2/2020,2,0,0,3,0,0
Butte,4/2/2020,7,0,4,26,2,2
Calaveras,4/2/2020,3,0,0,1,0,0
Colusa,4/2/2020,1,0,0,1,0,1
Contra Costa,4/2/2020,297,3,32,38,13,10
Del Norte,4/2/2020,0,0,0,3,0,0
El Dorado,4/2/2020,16,0,15,12,0,6
Fresno,4/2/2020,92,0,17,74,6,13
Glenn,4/2/2020,2,0,0,0,0,0
Humboldt,4/2/2020,23,0,1,8,0,2
Imperial,4/2/2020,24,0,4,16,3,5
Inyo,4/2/2020,8,0,8,102,0,1
Kern,4/2/2020,74,0,27,77,12,23
Kings,4/2/2020,3,0,2,6,1,1
Lake,4/2/2020,0,0,0,1,0,0
Lassen,4/2/2020,0,0,0,7,0,0
Los Angeles,4/2/2020,"4,040",79,818,"1,270",346,193
Madera,4/2/2020,25,1,1,7,1,3
Marin,4/2/2020,102,1,7,16,3,1
Mariposa,4/2/2020,0,0,0,1,0,0
Mendocino,4/2/2020,4,0,0,1,0,0
Merced,4/2/2020,9,0,4,5,0,1
Modoc,4/2/2020,,,0,1,0,0
Mono,4/2/2020,16,1,18,2,0,0
Monterey,4/2/2020,50,2,14,14,4,2
Napa,4/2/2020,13,0,1,4,1,1
Nevada,4/2/2020,17,0,38,58,2,1
Orange,4/2/2020,640,12,129,225,67,47
Placer,4/2/2020,72,2,32,15,9,0
Plumas,4/2/2020,1,0,0,0,0,0
Riverside,4/2/2020,438,13,136,181,45,49
Sacramento,4/2/2020,322,9,71,92,24,19
San Benito,4/2/2020,18,1,2,0,2,0
San Bernardino,4/2/2020,335,8,126,185,50,45
San Diego,4/2/2020,968,16,144,343,69,35
San Francisco,4/2/2020,473,6,75,60,32,11
San Joaquin,4/2/2020,148,9,42,42,20,7
San Luis Obispo,4/2/2020,79,0,5,5,4,4
San Mateo,4/2/2020,423,13,62,40,26,4
Santa Barbara,4/2/2020,125,1,26,44,18,10
Santa Clara,4/2/2020,908,38,163,101,69,19
Santa Cruz,4/2/2020,49,1,4,4,3,0
Shasta,4/2/2020,7,1,2,4,1,0
Sierra,4/2/2020,0,0,,,,
Siskiyou,4/2/2020,3,0,0,3,0,2
Solano,4/2/2020,65,0,15,8,7,1
Sonoma,4/2/2020,76,1,8,18,1,0
Stanislaus,4/2/2020,40,0,30,43,11,7
Sutter,4/2/2020,10,1,0,0,,
Tehama,4/2/2020,1,0,0,1,0,1
Trinity,4/2/2020,0,0,0,0,0,0
Tulare,4/2/2020,64,1,4,26,4,5
Tuolumne,4/2/2020,1,0,0,0,0,0
Unassigned,4/2/2020,49,1,,,,
Ventura,4/2/2020,178,5,27,111,7,24
Yolo,4/2/2020,29,1,3,2,2,3
Yuba,4/2/2020,5,0,2,25,2,6
